id,PDF,Link,title,author,issued,type,title-short,container-title,editor,publisher,publisher-place,page,chapter,volume,number,issue,doi
mcconnell-ginet2012,McConnell-Ginet.pdf (https://dl.airtable.com/9Qv8wBKKQWmDnh7OhdEd_McConnell-Ginet.pdf),,Generic predicates and interest-relativity,mcconnell-ginet-s,2012,article-journal,,The Canadian Journal of Linguistics,,,,261-287,,57,2,,10.1353/cjl.2012.0028
murray2010,murray10.pdf (https://dl.airtable.com/kqK9x51LQYSJ8y7CLeoZ_murray10.pdf),,Evidentiality and the structure of speech acts,murray-s,2010,thesis,,,,Rutgers,,,,,,,
murray2011,murray2011.pdf (https://dl.airtable.com/eDnyIx3YQuSbCpSgzZUl_murray2011.pdf),,A Hamblin semantics for evidentials,murray-s,2011,paper-conference,,Proceedings from semantics and linguistic theory (salt) XIX (2009),,"CLC Publications, eLanguage",,324-341,,,,,
murray2014,murray2014.pdf (https://dl.airtable.com/cvtrgn5bQFmkV044NHz2_murray2014.pdf),,Varieties of update,murray-s,2014,article-journal,,Semantics and Pragmatics,,,,1-53,,7,,2,
Portner1997-PORTSO-2,portner1997.pdf (https://dl.airtable.com/EviV75W6TFO8LSNvlhsc_portner1997.pdf),,"The semantics of mood, complementation, and conversational force",portner-p,1997 ,article-journal,,Natural Language Semantics,,,,167-212,,5,,2,
Portner2007-PORIAM-3,Portner2007ImperativesModals.pdf (https://dl.airtable.com/V9EDDKCLTBiFFA5FFKKs_Portner2007ImperativesModals.pdf),,Imperatives and modals,portner-p,2007 ,article-journal,,Natural Language Semantics,,,,351-383,,15,,4,
potts2005,potts - conv imp meanings.pdf (https://dl.airtable.com/6uVyzGY3RLWCOfK9ECfm_potts%20-%20conv%20imp%20meanings.pdf),,The logic of conventional implicatures,potts-c,2005,book,,,,Oxford University Press UK,,,,,,,
richard2004,richard - contextualism and relativism.pdf (https://dl.airtable.com/Fg58J77lR9KIBiEg5kHP_richard%20-%20contextualism%20and%20relativism.pdf),,Contextualism and relativism,richard-m,2004,article-journal,,Philosophical Studies,,,,215-242,,119,,,
roberts1989,roberts-modalsub89.pdf (https://dl.airtable.com/6xY3kjyvQDCQe2ZDXUod_roberts-modalsub89.pdf),,Modal subordination and pronominal anaphora in discourse,roberts-c,1989 ,article-journal,,Linguistics and Philosophy,,Springer,,683-721,,12,,6,
roberts2012,roberts - info structure in discourse.pdf (https://dl.airtable.com/gc6esJtSr6FDBkcL19vX_roberts%20-%20info%20structure%20in%20discourse.pdf),,Information structure in discourse: Towards an integrated formal theory of pragmatics,roberts-c,2012,article-journal,,Semantics and Pragmatics,,,,1-69,,5,,6,
Schegloff1973-SCHOUC,schegloffOpeningUpClosings.pdf (https://dl.airtable.com/ThEZmsO2SSGSrZ707hfr_schegloffOpeningUpClosings.pdf),,Opening up closings,"schegloff-e,sacks-h",1973 ,article-journal,,Semiotica,,,,,,8,,4,
Schlenker2010-SCHLCA-12,schlenker - local contexts.pdf (https://dl.airtable.com/0SVn2WZDREoWn8qI7htj_schlenker%20-%20local%20contexts.pdf),,Local contexts and local meanings,schlenker-p,2010 ,article-journal,,Philosophical Studies,,Springer,,115-142,,151,,1,
schubert1987,schubert-pelletier-problems-in-representing.pdf (https://dl.airtable.com/4qXMuoYRfWxTAq0QHrBP_schubert-pelletier-problems-in-representing.pdf),,"Problems in the representation of the logical form of generics, plurals, and mass nouns","schubert-l,pelletier-f",1987,chapter,,New directions in semantics,lepore-e,Academic Press,,,,,,,
